,level_0,index,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,W-L,Rank,GB,Save,D/N,cLI,Streak,BA,OBP,OPS,Team_Hits,Hits_allowed,HR_allowed,ERA,predict
126,6,125,2023-8-18,boxscore,CHC,,KCR,L,3,4,0.512,3,3.0,Hernández,D,1.08,1,0.255,0.332,0.751,10,7,1,4.16,0
127,7,126,2023-8-19,boxscore,CHC,,KCR,W,6,4,0.516,2,3.0,Alzolay,D,1.01,-1,0.255,0.332,0.752,9,10,0,4.16,1
128,8,127,2023-8-20,boxscore,CHC,,KCR,W,4,3,0.52,2,3.0,Alzolay,D,1.1,1,0.254,0.331,0.751,5,7,0,4.15,1
129,9,128,2023-8-21,boxscore,CHC,@,DET,W,7,6,0.524,2,2.5,Leiter,N,1.13,2,0.254,0.331,0.751,9,11,2,4.17,1
130,10,129,2023-8-22,boxscore,CHC,@,DET,L,6,8,0.52,2,3.5,Lange,N,1.12,3,0.254,0.33,0.751,8,9,2,4.2,0
131,11,130,2023-8-23,boxscore,CHC,@,DET,W,6,4,0.524,2,3.5,Alzolay,D,1.06,-1,0.254,0.33,0.75,9,5,1,4.2,1
132,12,131,2023-8-24,boxscore,CHC,@,PIT,W,5,4,0.528,2,3.0,Alzolay,N,1.14,1,0.254,0.33,0.749,10,6,1,4.18,1
133,13,132,2023-8-25,boxscore,CHC,@,PIT,L,1,2,0.523,2,4.0,Bednar,N,1.18,2,0.254,0.329,0.747,5,7,0,4.17,0
134,14,133,2023-8-26,boxscore,CHC,@,PIT,W,10,6,0.527,2,4.0,Alzolay,N,1.18,-1,0.254,0.33,0.748,10,7,1,4.18,1
135,15,134,2023-8-27,boxscore,CHC,@,PIT,W,10,1,0.531,2,4.0,,D,1.09,1,0.254,0.33,0.748,12,4,0,4.16,1
136,16,135,2023-8-28,boxscore,CHC,,MIL,L,2,6,0.527,2,5.0,,N,1.23,2,0.253,0.329,0.747,5,10,2,4.14,0
137,17,136,2023-8-29,boxscore,CHC,,MIL,W,1,0,0.53,2,4.0,Alzolay,N,1.23,-1,0.253,0.329,0.746,8,7,0,4.11,1
138,18,137,2023-8-30,boxscore,CHC,,MIL,W,3,2,0.534,2,3.0,,D,1.2,1,0.253,0.328,0.744,3,5,0,4.08,1
139,19,139,2023-9-1,boxscore,CHC,@,CIN,W,6,2,0.537,2,3.5,Thompson,D,1.32,2,0.253,0.329,0.746,10,7,0,4.07,1
140,20,140,2023-9-1,boxscore,CHC,@,CIN,L-wo,2,3,0.533,2,3.5,,N,1.21,3,0.252,0.328,0.745,5,8,1,4.06,0
141,21,141,2023-9-2,boxscore,CHC,@,CIN,L-wo,1,2,0.529,2,4.5,,N,1.34,-1,0.252,0.328,0.743,5,9,0,4.05,0
142,22,142,2023-9-3,boxscore,CHC,@,CIN,W,15,7,0.533,2,3.5,,D,1.49,-2,0.253,0.329,0.747,18,11,3,4.07,1
